date,protocol,chain,tvl,tvl_start,tvl_current,tvl_delta
2024-07-09 00:00:00,extra-finance,Base,82373563.0059,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,extra-finance,Base,83404327.03671,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:19:11,extra-finance,Base,87779661.88972,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,stargate-v2,Base,12237294.41654,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,stargate-v2,Base,12498887.06257,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,stargate-v2,Base,13907086.86014,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:00:00,stargate-v2,Base,13464958.26418,198614.72293,500739740.11673,500541125.39379996
2024-07-11 01:09:59,stargate-v2,Base,13348870.28452,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,stargate-v2,Optimism,27504803.20125,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,stargate-v2,Optimism,29030790.44639,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,stargate-v2,Optimism,29395492.5235,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:00:00,stargate-v2,Optimism,29218050.43735,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 01:09:59,stargate-v2,Optimism,29207095.39496,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,balancer-v2,Fraxtal,156.40736,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,balancer-v2,Fraxtal,303.52226,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,balancer-v2,Fraxtal,9711.55721,156.40736,232848.60441,232692.19705
2024-07-11 01:05:59,balancer-v2,Fraxtal,78152.67325,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,beefy,Base,53838397.45342,198614.72293,500739740.11673,500541125.39379996
2024-07-09 00:00:00,beefy,Base,53338806.98804,198614.72293,500739740.11673,500541125.39379996
2024-07-10 00:00:00,beefy,Base,53653367.70454,198614.72293,500739740.11673,500541125.39379996
2024-07-11 00:37:59,beefy,Base,54781673.32851,198614.72293,500739740.11673,500541125.39379996
2024-07-08 00:00:00,beefy,Optimism,26709019.1226,9344756.32025,88654193.23673,79309436.91647999
2024-07-09 00:00:00,beefy,Optimism,27010727.30012,9344756.32025,88654193.23673,79309436.91647999
2024-07-10 00:00:00,beefy,Optimism,27862179.87348,9344756.32025,88654193.23673,79309436.91647999
2024-07-11 00:37:59,beefy,Optimism,28262960.24211,9344756.32025,88654193.23673,79309436.91647999
2024-07-08 00:00:00,beefy,Mode,524851.47408,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,beefy,Mode,546560.94533,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,beefy,Mode,557017.398,400.21497,4099300.83197,4098900.617
2024-07-11 00:37:59,beefy,Mode,563334.33842,400.21497,4099300.83197,4098900.617
2024-07-08 00:00:00,beefy,Fraxtal,2569400.38272,156.40736,232848.60441,232692.19705
2024-07-09 00:00:00,beefy,Fraxtal,2581606.59308,156.40736,232848.60441,232692.19705
2024-07-10 00:00:00,beefy,Fraxtal,2614595.4088,156.40736,232848.60441,232692.19705
2024-07-11 00:37:59,beefy,Fraxtal,2639917.56248,156.40736,232848.60441,232692.19705
2024-07-08 00:00:00,balancer-v2,Mode,400.21497,400.21497,4099300.83197,4098900.617
2024-07-09 00:00:00,balancer-v2,Mode,499.04257,400.21497,4099300.83197,4098900.617
2024-07-10 00:00:00,balancer-v2,Mode,15005.31245,400.21497,4099300.83197,4098900.617
